Unit_Code,Foray_Name,Protocol_Name,Start_Date,Genus,Species,Host,Collection_Number,Voucher_Specimen,Outside_Plot,Comments,NPS_Accession_Num,NPS_Catalog_Num,Collector
ANTI,Snavelys Woods,Foray,9/25/05,Armillaria,mellea,Dead Hardwood,5022,TRUE,FALSE,,445,11901,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/25/05,Polyporus,squamosus,Dead Hardwood,5014,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Trametes,elegans,Dead Hardwood,5012,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Trametes,elegans,Dead Hardwood,5013,TRUE,FALSE,,445,11882,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/25/05,Gloeoporus,dichrous,Dead Hardwood,5018,TRUE,FALSE,,445,11878,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/25/05,Trametes,elegans,Dead Hardwood,5010,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Phellinus,rimosus,Live Hardwood,5011,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Schizophyllum,commune,Dead Hardwood,5020,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,No ID,,Dead Hardwood,5017,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Xylaria,polymorpha,Dead Hardwood,5019,TRUE,FALSE,,445,11902,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/25/05,Stereum,ostrea,Dead Hardwood,5016,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Cerrena,unicolor,Dead Hardwood,5015,TRUE,FALSE,,445,11875,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/25/05,No ID,,Dead Hardwood,5026,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/25/05,Hericium,coralloides,Dead Hardwood,5025,TRUE,FALSE,,445,11885,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/25/05,Pleurotus,ostrea,Live Hardwood,5021,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Rhodotus,palmatus,Dead Hardwood,5089,TRUE,FALSE,,445,11881,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/24/06,Russula,maculata group,Soil,5086,TRUE,FALSE,,445,11894,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,Boletus,pulverulentus,Soil,5092,TRUE,FALSE,,445,11892,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/25/05,Auricularia,auricula,Live Hardwood,5023,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Phellinus,rimosus,Live Hardwood,5085,TRUE,FALSE,,445,11879,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/24/06,Marasmius,sp.,Soil,5105,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Bolbitius,vitellinus,Soil,5106,TRUE,FALSE,,445,11905,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,Marasmius,graminum,Soil,5098,TRUE,FALSE,,445,11889,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,Auricularia,auricula,Dead Hardwood,5090,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Calvatia,gigantea,Soil,5097,TRUE,FALSE,,445,11883,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/25/05,Daedaleopsis,confragosa,Dead Hardwood,5024,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Nolanea,sp.,Soil,5104,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Hygrophorus,occidentalis,Soil,5087,TRUE,FALSE,,445,11903,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,Polyporus,squamosus,Dead Hardwood,5096,TRUE,FALSE,,445,11877,Elizabeth Brantley
ANTI,Snavelys Woods,Foray,9/24/06,Lycoperdon,pusillum,Soil,5083,TRUE,FALSE,,445,11884,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,No ID,,Dead Hardwood,5103,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Marasmius,siccus,Soil,5084,TRUE,FALSE,,445,11888,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,Clitocybe,irina,Soil,5093,TRUE,FALSE,,445,11904,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,Mycena,luteopallens,Soil,5088,TRUE,FALSE,,445,11887,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,No ID,,Dead Hardwood,5101,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Ganoderma,applanatum,Dead Hardwood,5094,TRUE,FALSE,,445,11880,Lauraine Hawkins
ANTI,Snavelys Woods,Foray,9/24/06,No ID,,Dead Hardwood,5099,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Trametes,elegans,Dead Hardwood,5100,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Lepiota,sp.,Soil,5095,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Stropharia,sp.,Soil,5091,FALSE,FALSE,,,,
ANTI,Snavelys Woods,Foray,9/24/06,Marasmius,sp.,Dead Hardwood,5102,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Lycoperdon,umbrinum,Soil,700,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Bolbitius,sp.,Dead Hardwood,696,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Mycena,sp.,Dead Hardwood,693,FALSE,TRUE,,,,
CATO,Chimney Rock,Plot,9/17/06,Tremella,mesenterica,Dead Hardwood,702,TRUE,FALSE,,152,2322,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/17/06,No ID,,Soil,691,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,No ID,,,701,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Marasmius,siccus,Litter,697,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,No ID,,Soil,689,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Bolbitius,sp.,Litter,699,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Agaricus,sp.,,694,FALSE,TRUE,,,,
CATO,Chimney Rock,Plot,9/17/06,Lepiota,sp.,Soil,698,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/21/06,Crucibulum,laeve,Litter,498,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Lentinellus,omphalodes,Dead Hardwood,687,TRUE,FALSE,,152,2370,Elizabeth Brantley
CATO,Chimney Rock,Plot,8/7/05,Lycoperdon,pyriforme,Soil,160,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Marasmius,sp.,Soil,690,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Crucibulum,laeve,Dead Hardwood,161,TRUE,FALSE,,152,2294,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/7/05,No ID,,Litter,148,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Ganoderma,applanatum,Dead Hardwood,163,TRUE,FALSE,,152,2296,Elizabeth Brantley
CATO,Chimney Rock,Plot,8/7/05,Scleroderma,aureolatum,Litter,159,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Marasmius,sp.,Dead Hardwood,154,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Oxyporus,populinus,Live Hardwood,164,TRUE,TRUE,,152,2297,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/7/05,Trametes,versicolor,Dead Hardwood,155,TRUE,FALSE,,152,2292,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/7/05,Bondarzewia,berkeleyi,Ground,162,TRUE,TRUE,,152,2295,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/7/05,Schizophyllum,commune,Dead Hardwood,153,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Pluteus,atricapillus,Dead Hardwood,158,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/21/06,Russula,sanguinea,Soil,495,TRUE,FALSE,,152,2356,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/21/06,Pleurotus,ostreatus,Dead Hardwood,501,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/21/06,Russula,emetica,Soil,496,TRUE,FALSE,,152,2355,Elizabeth Brantley
CATO,Chimney Rock,Plot,7/21/06,Inocybe,sp.,Litter,499,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/21/06,Marasmius,rotula,Dead Hardwood,497,TRUE,FALSE,,152,2338,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/21/06,Schizophyllum,commune,Rotting Hardwood,500,TRUE,FALSE,,152,2357,Elizabeth Brantley
CATO,Chimney Rock,Plot,9/17/06,Marasmiellus,nigripes,Litter,692,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,No ID,,Dead Hardwood,157,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,8/7/05,Polyporus,badius,Duff,156,TRUE,FALSE,,152,2293,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Crucibulum,laeve,Litter,321,TRUE,FALSE,,152,2299,Lauraine Hawkins
CATO,Chimney Rock,Plot,7/9/05,Schizophyllum,commune,Dead Hardwood,37,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,No ID,,Dead Hardwood,55,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Hygrocybe,sp.,Dead Hardwood,40,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,No ID,,Buried Wood/Duff,34,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Marasmius,siccus,Duff/Hardwood,53,TRUE,FALSE,,152,2282,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/5/06,Marasmius,siccus,Litter,554,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Marasmius,felix,Petiole,42,TRUE,FALSE,,152,2347,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Lycoperdon,umbrinum,Litter,325,TRUE,FALSE,,152,2305,Lauraine Hawkins
CATO,Chimney Rock,Plot,8/5/06,Schizophyllum,commune,Dead Hardwood,553,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/2/05,Marasmius,pyrrocephalus,Dead Hardwood,320,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/2/05,Rhodocybe,sp.,Dead Hardwood,322,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/2/05,Phellinus,rimosus,Dead Hardwood,328,TRUE,FALSE,,152,2302,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Daldinia,concentrica,Dead Hardwood,324,TRUE,FALSE,,152,2300,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Psathyrella,delineata,Dead Hardwood,326,TRUE,FALSE,,152,2360,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/17/06,Tricholoma,sp.,Soil,695,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,9/17/06,Marasmius,siccus,Soil,688,TRUE,FALSE,,152,2337,Lauraine Hawkins
CATO,Chimney Rock,Plot,9/2/05,Inocybe,sp.,Litter,323,FALSE,FALSE,,,,
CATO,Chimney Rock,Plot,7/9/05,Crepidotus,spp.,Dead Hardwood,36,FALSE,FALSE,,,,
